id;international_name;code_atc;formulation;strength;route_of_administration;manufacturer;marketing_authorization_number;marketing_authorization_date;packaging;prescription_status;active
1;oui;au-delà;ici étranger;reparaître;INHALATION;miaou vétuste ah;sage;2025-07-16T17:36:08;hi;PRESCRIPTION;false
2;donner;dynamique antagonist;quand ?;ouin sauvage vivace;INHALATION;snif alors que;jusqu’à ce que spécialiste en ;2025-07-15T20:11:57;biathlète;PRESCRIPTION;true
3;clientèle;environ accrocher;fouiller régler décharger;tant brave prout;TOPICAL;oh personnel professionnel quelquefois;nonobstant novice;2025-07-16T01:37:46;quand ? disputer;HOSPITAL_USE_ONLY;true
4;boum pour que;ferme impromptu alen;réussir pauvre;hormis du moment que quitter;ORAL;candide;prestataire de services au poi;2025-07-16T10:16:08;police dessus pour que;PRESCRIPTION;false
5;cot cot;fade tic-tac en véri;dynamique;areu areu;INHALATION;magnifique au cas où en;où;2025-07-15T19:40:18;tant que déterminer d'abord;HOSPITAL_USE_ONLY;true
6;splendide;adversaire influence;responsable fade;ouille;INTRAVENOUS;pater intrépide;quoique police;2025-07-16T06:41:25;comme pendant que;PRESCRIPTION;true
7;magnifique;quand ?;jusqu’à ce que;impromptu;ORAL;hâter;éprouver maintenant foule;2025-07-16T04:46:33;alors que solitaire hé;PRESCRIPTION;false
8;fidèle;mairie prier;plaindre intrépide;exploser;ORAL;déplacer;présidence pschitt;2025-07-16T03:30:19;hirsute avare de crainte que;HOSPITAL_USE_ONLY;true
9;vlan extra;qualifier ensemble d;communauté étudiante;goûter;OTHER;diplomate;lectorat;2025-07-16T05:21:26;dès du moment que reproduire;OTC;false
10;guide;secours minuscule ôt;provoquer;sans que fourbe;INHALATION;délégation jouir à force de;équipe soit intrépide;2025-07-15T19:35:03;toujours gigantesque;OTC;false
