id;expiry_date;barcode;storage_condition;unit_price;image;composition;contraindications;side_effects;is_generic;risk_level
1;2025-07-16T02:57:36;du fait que au-delà suffisamment;étranger au dépens de entourer;27370.38;précisément atchoum;équipe;même si au-dessous de nonobstant;hier si publier;true;LOW
2;2025-07-15T23:31:13;autrefois dissocier répartir;suivant;3734.28;aussitôt que pencher;moyennant;aux alentours de enfermer méconnaître;si après que;false;HIGH
3;2025-07-15T20:45:17;orienter;autant prestataire de services;4398.7;raide groin groin guère;horrible électorat athlète;secouriste clientèle;horrible abaisser cadre;false;HIGH
4;2025-07-15T20:18:36;conseil d’administration;direction sembler;803.2;chauffer pauvre y;de crainte que grrr;sédentaire camarade vis-à-vie de;empêcher moderne;true;UNKNOWN
5;2025-07-16T06:00:06;pour que vu que à partir de;membre titulaire nonobstant autour de;22246.89;broum céans;aïe auprès de;quand;aïe partenaire très;false;LOW
6;2025-07-15T21:05:55;viser;même si prout;17996.28;ah;population du Québec miaou étant donné que;rédiger;si bien que extra hebdomadaire;false;MODERATE
7;2025-07-15T23:54:19;administration à la faveur de menacer;concurrence sans que selon;19882.67;boum;lorsque éprouver maintenant;prestataire de services;alors que solitaire hé;true;HIGH
8;2025-07-15T20:10:20;sur mairie prier;plaindre intrépide;8926.22;également déterminer;durer;pschitt enfin près;quelque responsable;false;MODERATE
9;2025-07-16T04:48:10;extra par rudement;de par;7311.99;après;vis-à-vie de;diplomate;lectorat;true;UNKNOWN
10;2025-07-16T01:11:27;défaire ah;contrarier guide là-haut;31322.31;circulaire sauf;triathlète sans que;derechef derrière partir;à force de conseil municipal;false;UNKNOWN
